trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.05, 'e': 0.1901389801015205}",20,3,27.082376161929016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.18637397603940997}",25,6,-30.310480549298344,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.05, 'e': 0.18268352405273466}",20,0,20.0734531734591,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.17906614791149322}",20,16,7.767807443029076,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.17552040061699686}",25,5,19.505013145362764,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.17204486382305054}",20,2,15.014851715591178,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.1686381472685955}",20,2,13.99507866602805,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,9,2.1256287728713126,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.16202575093388075}",20,12,15.156837016995322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.15881742610692068}",20,3,30.14545510831008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.1556726303679973}",20,0,-23.26385632714414,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.05, 'e': 0.15259010575688386}",25,7,33.905760830484844,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.14956861922263504}",25,1,17.5336094556956,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.14660696213035015}",20,6,23.07044450751139,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.14370394977770293}",20,10,19.877059544040208,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.140858420921045}",25,17,1.5417546743493762,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.13806923731089282}",20,8,-6.774340531130161,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.05, 'e': 0.1353352832366127}",25,17,-29.828656415177633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
